siGrupoParametro,vDescGrupoParametro,bVisualizaUsuario,bActivo,vUsuarioIngreso,sFechaIngreso,sFechaActualiza,vUsuarioActualiza,vEstacionIngresa,vEstacionActualiza
1,Aplicaciones,1,1,admin,4/15/2005 11:06,4/15/2005 11:08,admin,192.168.0.162,192.168.0.162
2,Cargos,1,1,Admin,4/15/2005 10:05,NULL,NULL,127.0.0.1,NULL
3,Especialidades,1,1,susana,1/2/2019 9:38,1/2/2019 9:41,susana,192.168.0.100,192.168.0.100
4,Unidades de Medida,1,1,susana,11/10/2006 9:09,11/10/2006 10:31,susana,192.168.0.176,192.168.0.176
5,Monedas,1,1,admin,6/22/2005 18:11,6/22/2005 18:12,admin,192.168.0.162,192.168.0.162
6,Paises,1,1,andrea,5/28/2009 16:05,5/28/2009 17:28,andrea,192.168.0.56,192.168.0.56
7,Ciudades,1,1,andrea,5/28/2009 16:05,5/28/2009 17:29,andrea,192.168.0.56,192.168.0.56
8,Bodegas,1,1,SUSANA,7/21/2015 11:19,7/21/2015 11:23,SUSANA,192.168.0.105,192.168.0.105
9,Bancos,1,1,susana,5/26/2014 10:56,5/26/2014 10:56,susana,192.168.0.104,192.168.0.104
10,Forma de Pago,1,1,admin,2/6/2006 18:29,2/6/2006 18:55,admin,192.168.0.162,192.168.0.162
11,Activos-Familia,0,0,susana,11/6/2007 9:36,11/6/2007 10:12,susana,192.168.0.176,192.168.0.176
12,Activos-Nombre,0,0,susana,2/17/2025 11:26,2/17/2025 11:34,susana,192.168.0.114,192.168.0.114
13,Actyivos-Marca,0,0,susana,2/17/2025 11:26,2/17/2025 11:36,susana,192.168.0.114,192.168.0.114
14,Activos-Modelos,0,0,susana,2/17/2025 11:26,2/17/2025 11:35,susana,192.168.0.114,192.168.0.114
15,Activos-Clase,0,0,admin,4/14/2007 10:21,4/14/2007 10:24,admin,192.168.0.162,192.168.0.162
16,Activos-Uso,0,0,admin,4/14/2007 10:21,4/14/2007 10:24,admin,192.168.0.162,192.168.0.162
17,Activos-Estado,0,0,susana,6/17/2010 12:03,6/17/2010 12:04,susana,192.168.0.100,192.168.0.100
18,Consultorios,1,1,SUSANA,10/4/2011 9:42,10/4/2011 9:44,SUSANA,192.168.0.150,192.168.0.150
19,INVENTARIO PRODUCTO,0,1,abcedeño,7/16/2025 11:29,7/16/2025 11:42,abcedeño,192.168.0.111,192.168.0.111
20,INVENTARIO CARACTERISTICA,0,1,abcedeño,7/16/2025 11:29,7/16/2025 11:42,abcedeño,192.168.0.111,192.168.0.111
21,INVENTARIO MARCA,0,1,abcedeño,5/13/2025 17:57,5/13/2025 17:58,abcedeño,192.168.0.116,192.168.0.116
22,ACTIVOS CONDICION,1,1,ADMIN,6/24/2010 12:25,6/24/2010 12:25,ADMIN,192.168.0.181,192.168.0.181
